,Jar,Species,Day,Treatment,Replicate,Community,Community.Complexity,td
105,73,Blepharisma,0,15,3,Loxocephalus + Blepharisma,2,100
106,73,Loxocephallus,0,15,3,Loxocephalus + Blepharisma,2,100
107,74,Blepharisma,0,15,4,Loxocephalus + Blepharisma,2,100
108,74,Loxocephallus,0,15,4,Loxocephalus + Blepharisma,2,100
109,75,Blepharisma,0,15,5,Loxocephalus + Blepharisma,2,100
110,75,Loxocephallus,0,15,5,Loxocephalus + Blepharisma,2,100
111,76,Blepharisma,0,20,1,Loxocephalus + Blepharisma,2,100
112,76,Loxocephallus,0,20,1,Loxocephalus + Blepharisma,2,100
113,77,Blepharisma,0,20,2,Loxocephalus + Blepharisma,2,100
114,77,Loxocephallus,0,20,2,Loxocephalus + Blepharisma,2,100
115,78,Blepharisma,0,20,3,Loxocephalus + Blepharisma,2,100
116,78,Loxocephallus,0,20,3,Loxocephalus + Blepharisma,2,100
117,79,Blepharisma,0,20,4,Loxocephalus + Blepharisma,2,100
118,79,Loxocephallus,0,20,4,Loxocephalus + Blepharisma,2,100
119,80,Blepharisma,0,20,5,Loxocephalus + Blepharisma,2,100
120,80,Loxocephallus,0,20,5,Loxocephalus + Blepharisma,2,100
121,81,Colpidium,0,15,1,Loxocephalus + Colpidium,2,100
122,81,Loxocephallus,0,15,1,Loxocephalus + Colpidium,2,100
123,82,Colpidium,0,15,2,Loxocephalus + Colpidium,2,100
124,82,Loxocephallus,0,15,2,Loxocephalus + Colpidium,2,100
125,83,Colpidium,0,15,3,Loxocephalus + Colpidium,2,100
126,83,Loxocephallus,0,15,3,Loxocephalus + Colpidium,2,100
127,84,Colpidium,0,15,4,Loxocephalus + Colpidium,2,100
128,84,Loxocephallus,0,15,4,Loxocephalus + Colpidium,2,100
129,85,Colpidium,0,15,5,Loxocephalus + Colpidium,2,100
130,85,Loxocephallus,0,15,5,Loxocephalus + Colpidium,2,100
131,86,Colpidium,0,20,1,Loxocephalus + Colpidium,2,100
132,86,Loxocephallus,0,20,1,Loxocephalus + Colpidium,2,100
133,87,Colpidium,0,20,2,Loxocephalus + Colpidium,2,100
134,87,Loxocephallus,0,20,2,Loxocephalus + Colpidium,2,100
135,88,Colpidium,0,20,3,Loxocephalus + Colpidium,2,100
136,88,Loxocephallus,0,20,3,Loxocephalus + Colpidium,2,100
137,89,Colpidium,0,20,4,Loxocephalus + Colpidium,2,100
138,89,Loxocephallus,0,20,4,Loxocephalus + Colpidium,2,100
139,90,Colpidium,0,20,5,Loxocephalus + Colpidium,2,100
140,90,Loxocephallus,0,20,5,Loxocephalus + Colpidium,2,100
141,91,Blepharisma,0,15,1,Blepharisma + Colpidium,2,100
142,91,Colpidium,0,15,1,Blepharisma + Colpidium,2,100
143,92,Blepharisma,0,15,2,Blepharisma + Colpidium,2,100
144,92,Colpidium,0,15,2,Blepharisma + Colpidium,2,100
145,93,Blepharisma,0,15,3,Blepharisma + Colpidium,2,100
146,93,Colpidium,0,15,3,Blepharisma + Colpidium,2,100
147,94,Blepharisma,0,15,4,Blepharisma + Colpidium,2,100
148,94,Colpidium,0,15,4,Blepharisma + Colpidium,2,100
149,95,Blepharisma,0,15,5,Blepharisma + Colpidium,2,100
150,95,Colpidium,0,15,5,Blepharisma + Colpidium,2,100
151,96,Blepharisma,0,20,1,Blepharisma + Colpidium,2,100
152,96,Colpidium,0,20,1,Blepharisma + Colpidium,2,100
153,97,Blepharisma,0,20,2,Blepharisma + Colpidium,2,100
154,97,Colpidium,0,20,2,Blepharisma + Colpidium,2,100
155,98,Blepharisma,0,20,3,Blepharisma + Colpidium,2,100
156,98,Colpidium,0,20,3,Blepharisma + Colpidium,2,100
157,99,Blepharisma,0,20,4,Blepharisma + Colpidium,2,100
158,99,Colpidium,0,20,4,Blepharisma + Colpidium,2,100
159,100,Blepharisma,0,20,5,Blepharisma + Colpidium,2,100
160,100,Colpidium,0,20,5,Blepharisma + Colpidium,2,100
161,101,Blepharisma,0,15,1,P.caudatum + Loxocephalus + Blepharisma,3,100
162,101,Loxocephallus,0,15,1,P.caudatum + Loxocephalus + Blepharisma,3,100
163,101,P.caudatum,0,15,1,P.caudatum + Loxocephalus + Blepharisma,3,100
164,102,Blepharisma,0,15,2,P.caudatum + Loxocephalus + Blepharisma,3,100
165,102,Loxocephallus,0,15,2,P.caudatum + Loxocephalus + Blepharisma,3,100
166,102,P.caudatum,0,15,2,P.caudatum + Loxocephalus + Blepharisma,3,100
