Temperature,Species,Replicate,Date,Observer,Density
25,p_aurelia,4,17/11/2021,Francesco,0.042
25,p_caudatum,1,17/11/2021,Ellie,0.012
25,p_caudatum,2,17/11/2021,Ellie,0.015
25,p_caudatum,3,17/11/2021,Ellie,0.024
25,p_caudatum,4,17/11/2021,Ellie,0.01
25,philodina,1,17/11/2021,Francesco,0.004
25,philodina,2,17/11/2021,Francesco,0.001
25,philodina,3,17/11/2021,Francesco,0.002
25,philodina,4,17/11/2021,Francesco,0.0005
25,spirostomum,1,17/11/2021,Ellie,0.005
25,spirostomum,2,17/11/2021,Ellie,0.001
25,spirostomum,3,17/11/2021,Ellie,0.001
25,spirostomum,4,17/11/2021,Ellie,0.005
20,blepharisma,1,17/11/2021,Ellie,0.003
20,blepharisma,2,17/11/2021,Ellie,0.001
20,blepharisma,3,17/11/2021,Ellie,0.002
20,blepharisma,4,17/11/2021,Ellie,0.001
20,colpidium,1,17/11/2021,Ellie,0.002
20,colpidium,2,17/11/2021,Ellie,0.031
20,colpidium,3,17/11/2021,Ellie,0.016
20,colpidium,4,17/11/2021,Ellie,0.01
20,lepadella,1,17/11/2021,Francesco,0.001
20,lepadella,2,17/11/2021,Francesco,0.0005
20,lepadella,3,17/11/2021,Francesco,0.001
20,lepadella,4,17/11/2021,Francesco,0.001
20,p_aurelia,1,17/11/2021,Francesco,0.02
20,p_aurelia,2,17/11/2021,Francesco,0.008
20,p_aurelia,3,17/11/2021,Francesco,0.016
20,p_aurelia,4,17/11/2021,Francesco,0.004
20,p_caudatum,1,17/11/2021,Ellie,0.008
20,p_caudatum,2,17/11/2021,Ellie,0.005
20,p_caudatum,3,17/11/2021,Ellie,0.016
20,p_caudatum,4,17/11/2021,Ellie,0.007
20,philodina,1,17/11/2021,Ellie,0.0005
20,philodina,2,17/11/2021,Ellie,0.0005
20,philodina,3,17/11/2021,Ellie,0.0002
20,philodina,4,17/11/2021,Ellie,0.002
30,blepharisma,1,18/11/2021,Francesco,0.018
30,blepharisma,2,18/11/2021,Francesco,0.042
30,blepharisma,3,18/11/2021,Francesco,0.024
30,blepharisma,4,18/11/2021,Francesco,0.052
30,colpidium,1,18/11/2021,Ellie,0.00004
30,colpidium,2,18/11/2021,Francesco,0
30,colpidium,3,18/11/2021,Ellie,0
30,colpidium,4,18/11/2021,Francesco,0
30,lepadella,1,18/11/2021,Francesco,0.037
30,lepadella,2,18/11/2021,Francesco,0.024
30,lepadella,3,18/11/2021,Francesco,0.032
30,lepadella,4,18/11/2021,Francesco,0.018
30,p_aurelia,1,18/11/2021,Ellie,0.06
30,p_aurelia,2,18/11/2021,Ellie,0.07
30,p_aurelia,3,18/11/2021,Ellie,0.11
30,p_aurelia,4,18/11/2021,Ellie,0.27
30,p_caudatum,1,18/11/2021,Ellie,0.02
30,p_caudatum,2,18/11/2021,Ellie,0.05
30,p_caudatum,3,18/11/2021,Ellie,0.08
30,p_caudatum,4,18/11/2021,Ellie,0.26
30,philodina,1,18/11/2021,Ellie,0.005
30,philodina,2,18/11/2021,Ellie,0.012
30,philodina,4,18/11/2021,Ellie,0.012
25,blepharisma,1,18/11/2021,Ellie,0.044
25,blepharisma,2,18/11/2021,Ellie,0.03
25,blepharisma,3,18/11/2021,Ellie,0.016
25,blepharisma,4,18/11/2021,Ellie,0.022
25,colpidium,1,18/11/2021,Ellie,0.5
25,colpidium,2,18/11/2021,Ellie,1.4
25,colpidium,3,18/11/2021,Ellie,0.6
25,colpidium,4,18/11/2021,Ellie,0.3
25,lepadella,1,18/11/2021,Francesco,0.006
25,lepadella,2,18/11/2021,Francesco,0.008
25,lepadella,3,18/11/2021,Francesco,0.005
25,lepadella,4,18/11/2021,Francesco,0.001
25,p_aurelia,1,18/11/2021,Francesco,0.083333333
25,p_aurelia,2,18/11/2021,Francesco,0.11
25,p_aurelia,3,18/11/2021,Francesco,0.075
25,p_aurelia,4,18/11/2021,Francesco,0.075
25,p_caudatum,1,18/11/2021,Francesco,0.046
25,p_caudatum,2,18/11/2021,Francesco,0.053333333
25,p_caudatum,3,18/11/2021,Francesco,0.05
25,p_caudatum,4,18/11/2021,Francesco,0.053333333
25,philodina,1,18/11/2021,Ellie,0.002
25,philodina,2,18/11/2021,Ellie,0.001
25,philodina,3,18/11/2021,Ellie,0.003
25,spirostomum,1,18/11/2021,Ellie,0.003
25,spirostomum,2,18/11/2021,Ellie,0.004
25,spirostomum,3,18/11/2021,Ellie,0.002
25,spirostomum,4,18/11/2021,Ellie,0.003
20,blepharisma,1,18/11/2021,Ellie,0.006
20,blepharisma,2,18/11/2021,Ellie,0.003
20,blepharisma,3,18/11/2021,Ellie,0.003
20,blepharisma,4,18/11/2021,Ellie,0.001
20,colpidium,1,18/11/2021,Francesco,0.12
20,colpidium,2,18/11/2021,Francesco,0.15
20,colpidium,3,18/11/2021,Francesco,0.075
20,colpidium,4,18/11/2021,Francesco,0.095
20,lepadella,1,18/11/2021,Francesco,0.003
20,lepadella,2,18/11/2021,Francesco,0.001
20,lepadella,3,18/11/2021,Francesco,0.002
20,lepadella,4,18/11/2021,Francesco,0.001
20,p_aurelia,1,18/11/2021,Ellie,0.03
20,p_aurelia,2,18/11/2021,Ellie,0.002
20,p_aurelia,3,18/11/2021,Ellie,0.003
20,p_aurelia,4,18/11/2021,Ellie,0.02
20,p_caudatum,1,18/11/2021,Ellie,0.02
20,p_caudatum,2,18/11/2021,Ellie,0.018
20,p_caudatum,3,18/11/2021,Ellie,0.021
20,p_caudatum,4,18/11/2021,Ellie,0.017
20,philodina,1,18/11/2021,Ellie,0.0005
20,philodina,2,18/11/2021,Ellie,0.0005
20,philodina,3,18/11/2021,Ellie,0.0005
20,philodina,4,18/11/2021,Ellie,0.001
30,blepharisma,1,19/11/2021,Ellie,0.106
30,blepharisma,2,19/11/2021,Ellie,0.102
30,blepharisma,3,19/11/2021,Ellie,0.09
30,blepharisma,4,19/11/2021,Ellie,0.15
30,colpidium,1,19/11/2021,Ellie,0
30,lepadella,1,19/11/2021,Francesco,0.028
30,lepadella,2,19/11/2021,Francesco,0.032
30,lepadella,3,19/11/2021,Francesco,0.038
30,lepadella,4,19/11/2021,Francesco,0.048
30,p_aurelia,1,19/11/2021,Francesco,0.16
30,p_aurelia,2,19/11/2021,Francesco,0.29
30,p_aurelia,3,19/11/2021,Francesco,0.1
30,p_aurelia,4,19/11/2021,Francesco,0.24
30,p_caudatum,1,19/11/2021,Ellie,0.09
30,p_caudatum,2,19/11/2021,Ellie,0.15
30,p_caudatum,3,19/11/2021,Ellie,0.03
30,p_caudatum,4,19/11/2021,Ellie,0.1
30,philodina,1,19/11/2021,Ellie,0.016
30,philodina,2,19/11/2021,Ellie,0.01
30,philodina,4,19/11/2021,Ellie,0.008
25,blepharisma,1,19/11/2021,Ellie,0.07
25,blepharisma,2,19/11/2021,Ellie,0.05
25,blepharisma,3,19/11/2021,Ellie,0.04
25,blepharisma,4,19/11/2021,Ellie,0.06
25,colpidium,1,19/11/2021,Ellie,0.7
25,colpidium,2,19/11/2021,Ellie,0.8
25,colpidium,3,19/11/2021,Ellie,0.4
